id,sentence
2234,"Агриппа Неттесгеймский в 1519 г. спас тем, что вмешался, одну женщину, из деревни Войппи, обвинённую инквизиционным судом в ведовстве."
2235,"Он работает не один, уже пять лет у него есть помощник."
2236,Государь сам назначил войскового командира.
2237,У Федорова имеются последователи.
2238,"Меня не было дома, когда выключили свет."
2239,"Матвея, которого толкали в толпе у самой цепи, осенила простая и гениальная мысль."
2240,Вы не посмотрите мои картины?
2241,Сделай эту работу к понедельнику!
2242,"Писатель пригласил журналистку, чтобы дать ей интервью."
2243,В лесу у нашей деревни много грибов.
2244,"Нам уже было известно, что он приехал и другие факты."
2245,"Садись в вагон, поезжай!"
2246,Я воспринимаю его как героя.
2247,"Что он меня не узнал, было странно."
2248,Хорошо этот рояль звучать не будет.
2249,Иван ловил в этом озере щук.
2250,Муж собирается просить Лену разрешить ему поехать туда один.
2251,"Я не знаю, статью ли Саша пишет."
2252,"Слухи ими специально распространялись, чтобы вызвать общественное возбуждение."
2253,Именно так и началась его гибель.
2254,"Бор рассказывал, что эта гипотеза была предложена Дираком в 1930 г."
2255,Задавал ли он тебе какие-либо каверзные вопросы?
2256,"Бабушка всегда говорила мне, что гораздо полезнее гулять на свежем воздухе, чем нежели лежать в кровати."
2257,"С другой стороны, никто не заставлял меня все это читать."
2258,Он разыскал рядом ручей.
2259,Я считала его твоим другом.
2260,Я сейчас буду писать письмо.
2261,"Гордость переполняла родителей, увидев фамилию сына среди авторов книги."
2262,На самом деле нынешний мир под управлением США абсолютно лишен каких бы то ни было моральных предрассудков.
2263,Он пьет полстакана молока.
2264,В этом взгляде было только горе.
2265,Сама природа поставила ее [березу] здесь для украшения бедного в убранстве поля.
2266,"Белокурый несколько удивился, что ему удалось создать, довольно, впрочем, плохой, каламбур."
2267,Я выслушала ваши извинения.
2268,Альфред не любит современную музыку.
2269,Да и как было ни встать во время прихода Мейерхольда?
2270,Иван читал статью Петра о себе.
2271,Если хочешь быть услышан в мире – пой по-английски.
2272,Приближался нечеловеческие рев и топот.
2273,"Считается, что атланты, уцелевшие по окончанию катаклизма, разбрелись по всему свету и передали свои знания и египтянам, и майя, и ацтекам."
2274,Встретимся около рыбного магазина рядом с метро «Университет».
2275,Мне не нужно твоих книг.
2276,Они запасли себе провиант.
2277,"Если ты мне во всем признаешься, так я тебя не высеку и дам еще пятак на орехи."
2278,Ему это нравится самому.
2279,"Ральф считает, что вон тот человек шпион."
2280,"Существуют реки, которые летом пересыхают."
2281,"Он думает, я его испугался."
2282,Вчера я получил новое доказательство его невинности.
2283,Каждый день к нему кто-нибудь приходит.
2284,"В Москве люди, которые этого не понимают."
2285,Не разбивал я чашки.
2286,Плохие новости лучше продаются.
2287,Мы выбрали Ивана председателем.
2288,"Мягкие дробные звоночки сыпались в это время по всей квартире, а в отдалении из передней то и дело слышались голоса, звенел телефон."
2289,Мы пойдем до чего?
2290,"Он считает, погода изменится."
2291,"Ты не знаешь, зачем он приходил?"
2292,Ребёнок XXI века слабо развит физически и подверженный большому количеству заболеваний.
2293,Мы живем у самой Волги.
2294,До него эти звуки не доносятся.
2295,Командир ввел обычай сам принимать все доклады.
2296,Телевизор не в мастерской.
2297,В это время из зала в гостиную вошла незнакомая Ларе девушка.
2298,"Вечером я дописывал ""Романтиков""."
2299,Вагоны шли привычной линией.
2300,Каким мальчиком он оказался?
2301,Подписи на документе поставили менеджер и покупатель.
2302,"Помилуй, мне и от роду нет ни году."
2303,Он вскоре понял свою ошибку.
2304,И в те времена такие вещи ценились.
2305,"Для пенсионеров, кто живут на острове в рыбацком посёлке, главное, чтобы лодка была в порядке."
2306,В моем кошельке масса денег.
2307,Памятные дни устанавливаются в честь значительных событий в мировой истории или истории России.
2308,Афанасьевна и Софья стояли невдалеке и слушали.
2309,"В усадьбе сохранились уникальные липовые аллеи, вековые дубы и высаженные в прошлом веке сибирские кедры."
2310,На ее лице выразилось презрение.
2311,"Нить, и шар всплыл, оборвалась."
2312,Лично для меня хрущевская оттепель началась с рисунков Збарского.
2313,"В тот момент я представляла себе такую возможность, сейчас уже нет."
2314,"Приняв командование над армиями, Кутузов вспомнил о князе Андрее и послал ему приказание явиться в главную квартиру."
2315,"Причем в случае, если возникнут какие бы то ни было экономические проблемы, виноват будет Кудрин."
2316,"Он врет, что кого-нибудь убедил."
2317,"Помилуй, мне и от роду нет году."
2318,Я угрожаю тебе казнью.
2319,Множество людей пришли за кулисы.
2320,"Руководитель обещал нам, что всем понездоровиться, если мы и дальше продолжим опаздывать и не выполнять свои рабочие обязанности."
2321,"Употребляя ненормативную лексику, со средств массовой информации теперь взимается штраф."
2322,Зачем ты моешь пол?
2323,"Что вы скажете об этом человеке, который предлагал нашей фирме очень выгодную операцию с ценными бумагами?"
2324,"Разбрелись по каруселям, балаганам, качелям, слушают песни цыган, пляски, сами пляшут, купаются в реке."
2325,Вчера этот прибор имел использование.
2326,"Она сидела рядом с мужем, слегка прижимаясь к нему."
2327,Вы один показался мне веселым.
2328,Вас здесь не стояло.
2329,У нашей фирмы имеется представитель в Красноярске.
2330,Многие млекопитающие (а звери ― это как раз и есть млекопитающие животные) кусают очень похоже на нас с вами.
2331,Глаза у нее были широко открыты.
2332,Я вспоминаю о ней с сожалением.
2333,Ради неё сядь в машину и поедь вперёд.
2334,Для исполнения приговора не требуется каких бы то ни было дополнительных процедур и формальностей.
2335,"В нём совмещались те чисто русские, мужицкие черты, которые в соединении дают возвышенный образ, делавший иногда не только нашего солдата непобедимым, но и великомучеником."
2336,"Неприятный мне разговор затянулся, вопреки моего ожидания."
2337,"У меня, кажется, грудь уже начинает болеть."
2338,Он предложил нам оказать помощь с ремонтом.
2339,Весь год я ходила туда.
2340,Иван питает надежду встретиться с тобой сам.
2341,"И мы просто встали рядом, прикрываясь руками от света, и, напряженно улыбаясь, стали смотреть на катер."
2342,Клюква не растет на дереве.
2343,Калязинской ПМК-500 требуются шофера для работы на автомашинах ГАЗ-52 и ЗИЛ-585 со сдельной оплатой.
2344,"Их морское путешествие, наверное, не закончилось бы никогда, если бы вдруг не пропало солнце."
2345,Я рассердился на него за грубость.
2346,"Есть люди, которые не любят правду."
2347,"Знаете, лучше с ним не связываться."
2348,"Я чувствую, что он прав."
2349,Кто-то должен взять на себя эту тяжелую обязанность.
2350,Звуки с улицы не доносятся.
2351,"Хочу, чтобы, если вы захотели, то вам все показали."
2352,Кто из мальчишек не мечтали прослыть силачом?
2353,"Маша читает, и Саша читает книгу."
2354,Этот сильно был очень тяжелым.
2355,"Жил историк одиноко, не имел нигде родных и почти не имел знакомых."
2356,Совершить такую подлость он не способен.
2357,Художник нарисовал и любуется прекрасной картиной.
2358,"Рука гравёра с инструментом, как правило, двигается мало: лежащая на специальной подушке, перемещается пластина."
2359,В Москву приехал с семьей Солженицын.
2360,Иностранных туристов у нас в гостинице еще не останавливалось.
2361,Костюм не был в химчистке весь год.
2362,Я здесь уже три часа.
2363,Напротив моего дома стоит колокольня.
2364,"Известный режиссёр заверил в интервью, что ничего автобиографического в его новой картине нет."
2365,Платье у бедер слегка расширяется.
2366,Эмпирическая психология должна быть вне всякой философии.
2367,"Вы знаете, где мы находимся?"
2368,Дерево над корнями было срублено.
2369,Они не построили газопровода.
2370,Доклад написан с шести до семи.
2371,Он был схвачен за шиворот.
2372,Он вылил воду из лейки на клумбу.
2373,Он был арестован по ложному обвинению.
2374,"У Маши дети взрослые, а у Даши они в детский сад ходят."
2375,Она неправильно принимает искусство.
2376,Геккерн на все способен: это человек без чести и совести.
2377,"Выйдя из переговорной, Радмиле многое показалось странным."
2378,Я строил такие мосты.
2379,Я встречаюсь с приятелями.
2380,Трава здесь не растет.
2381,"На спектакль в каком театре пришел Иван, несмотря на головную боль?"
2382,Левая рука его сжимала хрустящую бумажку.
2383,Каждый день к ней приходит сестра или мать.
2384,Кто разбивал эту ломал этот стул?
2385,"В начале марта, несмотря на весну, намело столько снегу, что на расчистку дорог была направлена рота солдатов."
2386,Она много раз обманывала кого-нибудь из своих друзей.
2387,Он оказался очень сообразительным кем?
2388,Он живет в двухэтажном доме на тихой лондонской улице возле Риджент-парка.
2389,Лодку поцарапало своим якорем.
2390,"То ли он не затормозил вообще, то ли затормозил, но не резко."
2391,Перед домом есть скамья.
2392,"Что ты не знаешь, как починить!"
2393,"Удар получился таким сильным, что она больно отбила себе руку, а банка треснула, и из нее в глаза черноволосому брызнул острый кетчуп."
2394,"Спроси свою знать, которой случалось тебя продавать."
2395,"Иван показал мне, что коробка пуста."
2396,"Брюсов увлекается декадентством, убежденным, что будущее принадлежит искусству, выражающему переживания яркой и независимой личности."
2397,"До появления Интернета никакая технология иопыт в человеческой истории не распространялась ещё так широко, быстро и глубоко, как сейчас."
2398,"Он сказал мне, зачем только он туда ходил."
2399,"Боб, как честный человек, отказался."
2400,Пришел бы он вовремя!
2401,"Он смотрел на меня, словно бы ему что-то было непонятно."
2402,Возьми какую-нибудь из этих тетрадей.
2403,Ко мне приехали родственники.
2404,Он имеет порок сердца.
2405,"Он сидел близко от меня, и я видел, что он все время что-то писал."
2406,"Хотя опытные инженеры из-за границы были обещаны и были уже в дороге, но в нужный момент их не было."
2407,"Я один раз ее увидел, хочу еще раз увидеть."
2408,Иван выращивает новый сорт пшеницы.
2409,"Гуманность по отношению к животным нужно проявлять не на словах, а делом."
2410,Это комнатное растение отличается эффектной окраской листьев.
2411,Я получила от вас только 30 рублей.
2412,На юге люди рано стареют.
2413,У нее были темные жесткие волосы и маленькие колючие глаза.
2414,"У.Журналисты были приглашены министром, чтобы сделать заявление об отставке."
2415,Я не вызывал такси.
2416,"Я предложил ей помощь, но гордая девушка отказалась."
2417,"Сначала таблетки глотай, потом молока дам."
2418,"Когда они зашли в него, то поразились еще больше."
2419,Он не справился с заданием.
2420,Художники повстречались возле кафе и отправились на планер.
2421,Дядя Федя снова исчез и возник у сарая.
2422,"Я поступил, и Иван очень обрадовался, в институт."
2423,"Еще один такой выкрик, и его выгонят."
2424,"Вина Джулии состоит в том, что она оставила ребенка без присмотра."
2425,Нельзя ни с кем не общаться.
2426,Мощности кондиционеров в кабинах некоторых самолётов не хватает для комфортного состояния пилота.
2427,"Когда мы ходим на работу, покупаем квартиру, пытаемся поспекулировать акциями или валютами, то все наши действия направлены на получение доходов."
2428,В этом доме жил Достоевский.
2429,"Пока мы ехали, на тройке уздечки звенели звоном."
2430,Ты купишь себе велосипед.
2431,"Я надеюсь, что он не уедет."
2432,На этой неделе в Москве проходит книжная ярмарка.
2433,"Три митрополита были посажены, отправлены в ссылку и там один за другим скончались, но перед смертью каждый из них назначил преемника из епископов."
2434,"Если матч транслируется, то Иван сейчас сидит перед телевизором."
2435,"Гости посетили актовый зал нового здания лицея, который масштабами и убранством не уступает небольшому драматическому театру."
2436,"Музыка, рассказчик выключает вентилятор, заканчивается."
2437,У нее седые волосы.
2438,Ожидается приход Пети.
2439,Информационная служба городской телефонной сети опубликовала итоги перехода абонентов на новые тарифные планы.
2440,"Придется, откроешь свое дело, всем взятки давать."
2441,"Событие более важно, чем его причина."
2442,У нас сейчас есть урок.
2443,Это начинает мне надоедать.
2444,Мы всех их собрали в одну высокую корзинку и оставили ночевать в теплой кухне возле плиты.
2445,Этот последний был очень тяжелым.
2446,Иванова на лекции на занятиях нет.
2447,"В конце концов, заметив, что я не имею против него никаких злостных намерений, Симыч и мне стал доверять."
2448,"Он видел, что она сейчас не расположена к разговору."
2449,Лисица обыкновенная имеет густой и мягкий мех рыжевато-красного цвета.
2450,В теплые летние ночи они поднимались на один из холмов около Курска.
2451,"Я считаю, когда ты принял решение сесть за руль пьяный, ты уже преступник."
2452,Посреди глазного дна человеком имеется «жёлтое пятно».
2453,"Давно уже не озарялось оно такою добротою, такою старчески-детскою радостью."
2454,У меня украли кошелек.
2455,Завтра я прихожу к вам.
2456,Он назначил отъезд на 20 августа.
2457,"Мультик рассказывает, что надо быть готовому ко всему, выбрать свой путь жизни."
2458,Маму не огорчила Ванина двойка.
2459,Я хочу выпить какого-нибудь молока.
2460,Книга была с особой целью куплена студентом у букиниста.
2461,"Туристические маршруты, разрабатывающиеся опытными инструкторами, нравятся как россиянам, так и зарубежным путешественникам."
2462,Им судьбой назначено любить друг друга.
2463,К тебе только что приходила какая-то блондинка.
2464,"Боб, который ездил в Баку, пропустил последний семинар."
2465,Слишком уж он серьезен.
2466,"Говорят, если хочешь рассмешить Господа Бога, будь рассказывать о своих планах."
2467,Дома с дороги не видно.
2468,Иногда он отвечает не сразу.
2469,Для верности еще раз повернул ключ в замке.
2470,"В шкафу стоят книги, на полках лежат не только газеты, но также и стеклянная посуда."
2471,"Кто написал ""Войну и мир""?"
2472,"А прочитая рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы."
2473,Не он ли зачинщик?
2474,"Квартирохозяин мой, почтальон, учится играть на скрипке, потому что любит свою мамашу и не хочет огорчать ее женитьбой."
2475,Вина за катастрофу А-310 возложена на погибших летчиков.
2476,"Не знаешь, пенсию не дадут?"
2477,"А сапоги я вам блестящие принесу, ещё красивше ваших!"
2478,Это возвышает ее в моих глазах.
2479,Хлеб дает нам припек.
2480,Согласно приказа № 167 от 3 мая 2014 г. руководители отделов обязаны сдавать письменный отчёт не позднее десятого числа каждого месяца.
2481,Он покупает три журнала.
2482,Его тело найти недалеко от деревни Сосенки.
2483,"Собака шла через зал, стуча когтями по паркету."
2484,Стаканы были поставлены в шкаф.
2485,"Когда она смеялась, она их приподнимала."
2486,"Стекло разбил Коля ли, Петя ли."
2487,"Выслеживая добычу, в душе охотника просыпаются чувства предков, рисковавших жизнью ради пропитания."
2488,"День был дождливый, но Коля не взял зонт."
2489,"Вероятно, там кто-то был?"
2490,"Я начал читать и зачитался так, что, к огорчению взрослых, почти не обращаю внимания на нарядную ёлку."
2491,Он резко не затормозил.
2492,Да кто его презирает!
2493,"Она приняла его взгляды, вкусы, привычки."
2494,Все элементы должны составлять единое гармоничное целое и соответствовать вашему идейному замыслу.
2495,"Его самый верный товарищ обманул Иванова, предал, что донес."
2496,"Удивительно, что он все помнит."
2497,Вблизи от горы стояла сакля.
2498,Ваше отсутствие не тормозило работу.
2499,После обеда спать вредно.
2500,Ты находил свои ключи?
2501,Возьмите из моего стола тезисы докладов.
2502,"Высушенные пропыленные листы неприятно осязались, противный налет оставался на подушечках пальцев."
2503,Я ищу какую-то интересную пьесу по современной тематике.
2504,Приём травяных настоев способен повысить сопротивляемость организма инфекциям.
2505,"Я имею книгу, чтобы читать."
2506,Мне не нужно отдыхать.
2507,"Ребята быстро ушли, чтобы сами не принимать участия в беседе на такую спорную тему."
2508,"Первобытному человеку, жившему среди постоянных опасностей, нельзя было спать крепким сном."
2509,Она назначила мне свидание в метро.
2510,"Они касались подвала здания, который было решено превратить в эксплуатируемое помещение."
2511,Оригинала этого списка не сохранилось.
2512,Я живу недалеко от метро «Калужская».
2513,"Проследи, чтобы он второпях не оставил ключи."
2514,"Нежнейший, розовый по ним раструб крохотного цветочка, такого прозрачно-легкого, почти невесомого, источал тяжелый плотский запах нагретой солнцем земли."
2515,"И тотчас загоготал надо мною Кир, глядел на меня странно как-то, будто издалека, и хохотал."
2516,Она живет в маленьком городе у Москвы.
2517,"Он сидел в кресле, рядом с ним стояла недопитая бутылка вина."
2518,Он считает себя счастливым.
2519,"Мне стало холодно, и побежал в дом."
2520,"А тыква превращалась в спектакле ""Золушка"" в карету."
2521,"Известный американский антрополог считает то, что увеличение возраста зрелости может стать важным ресурсом для развития общества."
2522,Николай взял в жены Ольгу в двадцать три года.
2523,"Его успехам способствовало многое: раскованная манера поведения, прекрасная внешность, несколько спортивных разрядов в прошлом, уверенность в свои силы."
2524,Петя стучал ей в окно.
2525,Я нашел свои ключи.
2526,"Петя сказал «уходи», но это неправда."
2527,Длинные перечисления утомили меня.
2528,"Этот мир был ему сейчас ненавистнее, чем когда-либо."
2529,"Он бывал везде: и на Рейне, и на Ганге."
2530,Я поставил фонарь рядом с ведром.
2531,В результате всех пережитых страданий его лицо приобрело какое-то жесткое выражение.
2532,В 6.30 доклад был закончен.
2533,Донецкий журналист оценил реакцию граждан ЛДНР на возможное прибытие Зеленского.
2534,"Не проходя по коридору этого этажа, мы поднялись более выше, где было несколько свежее, но тот же отвратительный, удушливый запах был и здесь."
2535,Голословно заявилось о преследованиях мирного населения.
2536,"Предки современных птиц довольно быстро стали искусными летунами, одновременно освоившие прибрежные и болотистые пространства."
2537,Дальнейшее подтвердило мои предположения.
2538,На первом этаже громко работал телевизор: продолжается неудачное ограбление банка.
2539,"После разговора с Натали Андрея охватило одновременно чувство любви и ненависти, и это двойственное чувство не покидало его до вечера."
2540,"Всю ночь металось море, всю ночь гремела прибрежная галька, и в рокоте этом слышалось что-то неуловимое, вечное."
2541,В прошлом году я лежал в больнице МПС с воспалением легких.
2542,"Помню радость ее, окончания войны: солнечный майский день, небо голубое, народ вывалил на улицу, все обнимаются, радуются."
2543,Ты брал со стола ключи?
2544,"Напрасно вы думаете, что вы здоровы, у вас катар верхних дыхательных путей."
2545,Это платье больше по ширине в длину.
2546,Руки у него дрожали.
2547,"Перед тем как изложить на бумаге свои воспоминания о ком бы то ни было, Репин рассказывал о них нескольким людям."
2548,"Поскольку очень нужно ему в очереди стоять, у тебя ничего не выйдет."
2549,"Дело состоит в том, что «Нежный вестник» расходится в восьмьюстах копиях еженедельно, по тридцати копеек."
2550,"Он рискнул остаться на мосту, чтобы наблюдать за ходом событий."
2551,"По мнению редакторов, различия между заблуждением и ложью, очевидно, не существует."
2552,"Говорят, она не находит себе места, бедняжка."
2553,Два часа просил у него покататься на велосипеде.
2554,С горы сбегает ручей.
2555,"Войдя в номер гостиницы «Астория», в которой мне доводилось бывать уже не раз, на меня нахлынули воспоминания."
2556,Откроешь свое дело — придется всем взятки давать.
2557,"Мне не хватило двух минут, чтобы высказать все, что я о нем думаю."
2558,Ты когда-нибудь ехал в город на телеге?
2559,Никто даже не обратил внимания на заваленную тумбочку вещами.
2560,"Я точно помню, что мы тогда купались."
2561,"Яконов по несколько раз на дню бывал в Семёрке, поэтому приход его не воспринимался тут как приход большого начальства."
2562,Весь день он с радостью был в горах.
2563,"Её сынишка, годовалый малыш, беспрестанно что-то лепетал на совершенно непонятном языке."
2564,"Он, возможно, знает об этом или нет?"
2565,"Если позовет, не приду."
2566,Вблизи у самых кустов послышалась песнь соловья.
2567,"Сторож стуком колотушки доказывал, что он не спит."
2568,"Там уверены, что Лужков как политик не должен дожить до президентских выборов 2000 года."
2569,Пришел бы Миша поскорее.
2570,Над чем вы работаете в настоящее время?
2571,Они растащили трубу по участку.
2572,"Мы обращаемся со своей проблемой к Ирине Ивановне, которая не может не волновать всех нас."
2573,Я хочу увидеть Машу.
2574,"Он рад, что непохож на мужа барыниной Аннушки, с которым скандалы происходят раз в две недели: он ломится к жене, а та боится."
2575,А кто покупал билеты?
2576,"Слезы, сознание до сих пор не выветрившейся полностью вины сделали свое дело, в конце концов я махнул рукой: быть по-твоему!"
2577,"Зерно падает в землю, чтобы взойти в виде растения."
2578,Вода постепенно наполняет бассейн.
2579,"Он не купил машину, потому что еще не выбрал между “мерседесом” и “ауди”."
2580,Почему я тогда сразу не ушел?
2581,"Ксюша вышла за зубного врача, смеясь, что зубы болеть не будут."
2582,"Мы говорим врагам: сдавайтесь, или мы вас уничтожим."
2583,Мне дали эту работу на рецензию.
2584,"Спуская отходы в реку, завод повышает содержание в воде соединений хлора."
2585,Ты не можешь строить здесь гараж.
2586,Рядом с тарелкой лежали серебряный нож и маленькая вилка.
2587,В Европе растет беспокойство по поводу кризиса на Среднем Востоке.
2588,Она решила взять сына домой.
2589,Я требую тебе заплатить долг.
2590,Не задавал ли он тебе каких-нибудь вопросов?
2591,Громадный домище заслонил от меня солнце.
2592,"Кого он отомстил врагу, убив?"
2593,Ты можешь взять любую из этих книг.
2594,"Затмение прошло, и я опять ясно понимал суть происходящего."
2595,"Ему не повезло, что он встретил эту женщину."
2596,Принесет ли это мне какую-нибудь пользу?
2597,Вкус к большой политике к нему пришел позднее.
2598,На всех не хватит.
2599,У нее есть старость.
2600,"У тебя как, вечер сегодня свободный?"
2601,"Если я никого не записал, скажите."
2602,"Когда в квартире, конечно, побывали, никакого мага там не оказалось."
2603,Ты купила две бутылки молока или одну?
2604,А ты и на гитаре играешь?
2605,"Не знаю, какой вы краской голову и волосы красите, мне бы дали."
2606,"Лучше быть невинному в неволе, чем виноватому на свободе: верь этому!"
2607,А почему повязка на ноге?
2608,Ради этого можно рискнуть здоровьем.
2609,"Я был поражен удивительной красотой, карнавальная маска которой висела на стене приемной."
2610,Нам было не разрешено принимать посетителей после 6 часов.
2611,"Кемь является одним из самых старых городов России, расположенный на Белом море."
2612,Поезд следует из нее.
2613,У царя Мидаса ослиные уши.
2614,Он всегда в плохом настроении.
2615,Я когда-то читал «Бориса Годунова».
2616,"Еще раньше у лося побывали волки, — Тэдди узнал это по следам, оставленным ими, и поэтому никуда не ушел и уснул поблизости."
2617,Мое тело белело в темноте.
2618,В XIV веке Перемышль уже существовал.
2619,На праздник он принес цветы для красивой и обаятельной девушки.
2620,"Я виноват, что сын такой невоспитанный."
2621,У него в доме имеется плантация марихуаны.
2622,"Иван знает, что статья о себе появилась в газете."
2623,Международная общественность хорошо понимает и заботится о решении социальных проблем в развивающихся странах.
2624,Вместе с тем у нее не было никаких причин скрывать от меня что бы то ни было.
2625,Примите меня в свою группу.
2626,"Это ее решение, ее злая воля заставляют Эди стоять тут под дверью больным и сумасшедшим."
2627,Над сектором сгущаются тучи.
2628,Посылку у меня не приняли.
2629,Такое отношение очень радует.
2630,Записку и веточку она положила рядом с ним.
2631,Не помогать вам — это не значит не помогать никому.
2632,Дайте я за вами поухаживаю.
2633,Ему вручили подарок серебряные часы.
2634,"Я видел, что он, кажется, был расстроен."
2635,"Ребенок проснулся потому, что вы разговаривали громко."
2636,Я сейчас выразил ему свое неудовольствие.
2637,У нас так не разговаривают со своими друзьями.
2638,Разве не естественно ее стремление помочь кому-то?
2639,"Прошло то время, когда сегодняшний день был похож на вчерашний."
2640,"Она получила то, что хотела."
2641,"Кот забрался на крышу, спрятался от палящего солнца в тени дымохода и, улёгшись поудобнее, начнёт наблюдение за Шариком."
2642,"Не думаю, что Ваня тоже понял."
2643,У кого-нибудь из моих малышей в кармане лежит горсть сладких вишней.
2644,Кого Петя покрасил дачу?
2645,"Пушистый снег одел в серебристые наряды вековые сосны, устремившие свои вечнозелёные вершины в чистое небо."
2646,"Он продолжал идти, несмотря на боль в ноге."
2647,"Я стою сейчас рядом с Центризбиркомом и могу наблюдать за тем, что происходит перед входом."
2648,"Решая какую-нибудь частную задачу, надо думать о языке в целом."
2649,"Ральф считает про человека в желтой шляпе, что он шпион."
2650,В данный момент я разговаривал с директором.
2651,Завтра я прихожу к своему приятелю.
2652,"Эрика хорошо рисует, у нее большие способности, и она будет в этом году поступать в архитектурный."
2653,Поставь ружье в угол!
2654,Змея ползет по дороге.
2655,Он взял шляпу с гвоздя.
2656,"Впереди, около багажного вагона, кто-то машет фонарем."
2657,"Просто сидит на берегу, у самой воды, любит море это и солнечный свет."
2658,"Насколько я понимаю, он здесь был."
2659,"Сейсмограф регистрирует любое колебание земной коры, когда оно имеет место."
2660,"Два примуса ревели на плите, у них стояли две женщины и переругивались."
2661,Вани в комнате не было.
2662,Дрожь явление физиологическое и ничего общего с нормальным страхом не имеет.
2663,Я похож с братом.
2664,Я ему об этом написал.
2665,Я считала его умнейшим человеком.
2666,Этот свой поступок он будет помнить потом всю жизнь.
2667,"Администрация города, в том числе мэр, несколько депутатов и членов комиссий, также присутствовали на открытии музея."
